ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PROTO_ID
Seifart-2015-1	tongue	1205	TONGUE	1
Seifart-2015-2	mouth	674	MOUTH	2
Seifart-2015-3	lip	478	LIP	3
Seifart-2015-4	tooth	1380	TOOTH	4
Seifart-2015-5	nose	1221	NOSE	5
Seifart-2015-6	eye	1248	EYE	6
Seifart-2015-7	ear	1247	EAR	7
Seifart-2015-8	head	1256	HEAD	8
Seifart-2015-9	forehead	123	FOREHEAD	9
Seifart-2015-10	hair	1040	HAIR	10
Seifart-2015-11	beard	678	BEARD	12
Seifart-2015-12	chest	1592	CHEST	14
Seifart-2015-13	woman’s breast	1402	BREAST	15
Seifart-2015-14	abdomen	1251	BELLY	16
Seifart-2015-15	shoulder	1482	SHOULDER	18
Seifart-2015-16	arm	1673	ARM	19
Seifart-2015-17	elbow	981	ELBOW	21
Seifart-2015-18	hand	1277	HAND	22
Seifart-2015-19	finger	1303	FINGER	23
Seifart-2015-20	fingernail	1258	FINGERNAIL	24
Seifart-2015-21	knee	1371	KNEE	27
Seifart-2015-22	foot	1301	FOOT	29
Seifart-2015-23	toe	1389	TOE	30
Seifart-2015-24	skin	763	SKIN	31
Seifart-2015-25	bone	1394	BONE	32
Seifart-2015-26	blood	946	BLOOD	33
Seifart-2015-27	heart	1223	HEART	34
Seifart-2015-28	lungs	688	LUNG	35
Seifart-2015-29	man	1554	MAN	38
Seifart-2015-30	man	1554	MAN	39
Seifart-2015-31	woman	962	WOMAN	40
Seifart-2015-32	people	789	PEOPLE	41
Seifart-2015-33	husband	1200	HUSBAND	42
Seifart-2015-34	wife	1199	WIFE	43
Seifart-2015-35	father	1217	FATHER	44
Seifart-2015-36	mother	1216	MOTHER	45
Seifart-2015-37	baby,infant	1289	BABY	46
Seifart-2015-38	old man	406	OLD MAN	47
Seifart-2015-39	water	948	WATER	48
Seifart-2015-40	river	666	RIVER	49
Seifart-2015-41	swamp	1145	SWAMP	52
Seifart-2015-42	fire	221	FIRE	56
Seifart-2015-43	ash	646	ASH	57
Seifart-2015-44	charcoal	1188	CHARCOAL	58
Seifart-2015-45	firewood	10	FIREWOOD	60
Seifart-2015-46	sky	1732	SKY	61
Seifart-2015-47	rain	658	RAIN (PRECIPITATION)	62
Seifart-2015-48	sun	1343	SUN	64
Seifart-2015-49	moon	1313	MOON	65
Seifart-2015-50	star	1430	STAR	66
Seifart-2015-51	day	1225	DAY (NOT NIGHT)	67
Seifart-2015-52	night	1233	NIGHT	68
Seifart-2015-53	thunder	1150	THUNDER	69
Seifart-2015-54	rainbow	1733	RAINBOW	71
Seifart-2015-55	earth	1228	EARTH (SOIL)	72
Seifart-2015-56	sand	671	SAND	74
Seifart-2015-57	house	1252	HOUSE	75
Seifart-2015-58	doorway	1567	DOOR	77
Seifart-2015-59	seat,stool	2058	STOOL	78
Seifart-2015-60	mat	195	MAT	79
Seifart-2015-61	hammock	2019	HAMMOCK	80
Seifart-2015-62	bed	1663	BED	81
Seifart-2015-63	cooking pot	3653	COOKING POT	82
Seifart-2015-64	cultivated clearing	212	FIELD	83
Seifart-2015-65	village	930	VILLAGE	84
Seifart-2015-66	path,trail	2252	PATH	85
Seifart-2015-67	fish net	388	FISHNET	86
Seifart-2015-68	fish hook	1074	FISHHOOK	87
Seifart-2015-69	steel axe			88
Seifart-2015-70	knife	1352	KNIFE	89
Seifart-2015-71	canoe	1970	CANOE	90
Seifart-2015-72	paddle	234	PADDLE	91
Seifart-2015-73	club	1763	CLUB	92
Seifart-2015-74	spear	945	SPEAR	93
Seifart-2015-75	bow	994	BOW	94
Seifart-2015-76	arrow	977	ARROW	95
Seifart-2015-77	blowgun	432	BLOWGUN	96
Seifart-2015-78	puma	1891	PUMA	99
Seifart-2015-79	armadillo	1885	ARMADILLO	100
Seifart-2015-80	dog	2009	DOG	101
Seifart-2015-81	red deer			102
Seifart-2015-82	bat	1793	BAT	103
Seifart-2015-83	otter	15	OTTER	104
Seifart-2015-84	cebus,monkey	1350	MONKEY	105
